YYYY DOY Hour    X(au)     Y(au)     Z(au)
2020   1   0 -120.9755   10.1709   84.3813
2020   1   1 -120.9758   10.1709   84.3815
2020   1   2 -120.9762   10.1709   84.3817
2020   1   3 -120.9765   10.1709   84.3820
2020   1   4 -120.9768   10.1708   84.3822
2020   1   5 -120.9771   10.1708   84.3825
2020   1   6 -120.9775   10.1709   84.3827
2020   1   7 -120.9778   10.1709   84.3829
2020   1   8 -120.9781   10.1709   84.3832
2020   1   9 -120.9785   10.1709   84.3834
2020   1  10 -120.9788   10.1708   84.3837
2020   1  11 -120.9791   10.1709   84.3839
2020   1  12 -120.9795   10.1708   84.3842
2020   1  13 -120.9798   10.1708   84.3844
2020   1  14 -120.9801   10.1708   84.3846
2020   1  15 -120.9805   10.1708   84.3849
2020   1  16 -120.9808   10.1708   84.3851
2020   1  17 -120.9811   10.1708   84.3854
2020   1  18 -120.9814   10.1708   84.3856
2020   1  19 -120.9818   10.1708   84.3858
2020   1  20 -120.9821   10.1708   84.3861
2020   1  21 -120.9824   10.1708   84.3863
2020   1  22 -120.9828   10.1708   84.3865
2020   1  23 -120.9831   10.1708   84.3868
2020   2   0 -120.9834   10.1708   84.3870
2020   2   1 -120.9838   10.1708   84.3873
2020   2   2 -120.9841   10.1708   84.3875
2020   2   3 -120.9844   10.1708   84.3878
2020   2   4 -120.9847   10.1708   84.3880
2020   2   5 -120.9851   10.1708   84.3882
2020   2   6 -120.9854   10.1708   84.3885
2020   2   7 -120.9857   10.1708   84.3887
2020   2   8 -120.9861   10.1708   84.3889
2020   2   9 -120.9864   10.1708   84.3892
2020   2  10 -120.9867   10.1708   84.3894
2020   2  11 -120.9871   10.1708   84.3897
2020   2  12 -120.9874   10.1708   84.3899
2020   2  13 -120.9877   10.1708   84.3901
2020   2  14 -120.9880   10.1708   84.3904
2020   2  15 -120.9884   10.1708   84.3906
2020   2  16 -120.9887   10.1708   84.3909
2020   2  17 -120.9890   10.1708   84.3911
2020   2  18 -120.9894   10.1708   84.3913
2020   2  19 -120.9897   10.1708   84.3916
2020   2  20 -120.9900   10.1708   84.3918
2020   2  21 -120.9903   10.1708   84.3921
2020   2  22 -120.9907   10.1707   84.3923
2020   2  23 -120.9910   10.1707   84.3925
2020   3   0 -120.9913   10.1707   84.3928
2020   3   1 -120.9917   10.1707   84.3930
2020   3   2 -120.9920   10.1707   84.3933
2020   3   3 -120.9923   10.1707   84.3935
2020   3   4 -120.9927   10.1707   84.3937
2020   3   5 -120.9930   10.1707   84.3940
2020   3   6 -120.9933   10.1707   84.3942
2020   3   7 -120.9937   10.1707   84.3945
2020   3   8 -120.9940   10.1707   84.3947
